name,total_pitch_count,total_run_value,rv_100,rv_100
"Alzolay, Adbert",1275,21,1.647058824,1.647
"Bard, Daniel",1389,13,0.935925126,0.936
"Barlow, Joe",608,4,0.6578947368,0.658
"Barlow, Scott",1546,22,1.423027167,1.423
"Bautista, Felix",169,0,0,0
"Castillo, Diego",1246,22,1.76565008,1.766
"Chapman, Aroldis",726,0,0,0
"Clase, Emmanuel",1024,21,2.05078125,2.051
"Diaz, Alexis",970,23,2.371134021,2.371
"Diaz, Edwin",917,32,3.489640131,3.49
"Doval, Camilo",1165,30,2.575107296,2.575
"Estevez, Carlos",601,-6,-0.9983361065,-0.998
"Finnegan, Kyle",422,-6,-1.421800948,-1.422
"Floro, Dylan",543,-1,-0.1841620626,-0.184
"Graveman, Kendall",740,5,0.6756756757,0.676
"Hader, Josh",777,13,1.673101673,1.673
"Hand, Brad",1366,-3,-0.2196193265,-0.22
"Helsley, Ryan",809,19,2.348578492,2.349
"Hembree, Heath",706,4,0.566572238,0.567
"Hendriks, Liam",543,8,1.473296501,1.473
"Holmes, Clay",589,8,1.358234295,1.358
"Iglesias, Raisel",715,11,1.538461538,1.538
"Jansen, Kenley",383,1,0.2610966057,0.261
"Jimenez, Dany",586,14,2.389078498,2.389
"Johnson, Pierce",87,-1,-1.149425287,-1.149
"Lopez, Jorge",402,3,0.7462686567,0.746
"May, Trevor",598,7,1.170568562,1.171
"McGee, Jake",195,-3,-1.538461538,-1.538
"Neris, Hector",154,1,0.6493506494,0.649
"Pressly, Ryan",1014,26,2.564102564,2.564
"Puk, A.J.",441,4,0.9070294785,0.907
"Rainey, Tanner",393,-3,-0.7633587786,-0.763
"Reyes, Alex",350,13,3.714285714,3.714
"Robertson, David",468,-3,-0.641025641,-0.641
"Rodriguez, Richard",131,1,0.7633587786,0.763
"Rogers, Taylor",8,1437,0.5567153793,0.557
"Romano, Jordan",1387,20,1.441961067,1.442
"Schreiber, John",3,710,0.4225352113,0.423
"Scott, Tanner",1959,12,0.6125574273,0.613
"Sewald, Paul",8,1376,0.5813953488,0.581
"Smith, Will",1352,31,2.292899408,2.293
"Soria, Joakim",129,1,0.7751937984,0.775
"Soto, Gregory",1040,10,0.9615384615,0.962
"Sulser, Cole",223,0,0,0
